dt,Country,Region,Deaths,CumulativeDeaths,Confirm,CumulativeConfirm
2020-02-24,AF,EMRO,0,0,1,1
2020-02-25,AF,EMRO,0,0,0,1
2020-02-26,AF,EMRO,0,0,0,1
2020-02-27,AF,EMRO,0,0,0,1
2020-02-28,AF,EMRO,0,0,0,1
2020-02-29,AF,EMRO,0,0,0,1
2020-03-01,AF,EMRO,0,0,0,1
2020-03-02,AF,EMRO,0,0,0,1
2020-03-03,AF,EMRO,0,0,0,1
2020-03-04,AF,EMRO,0,0,0,1
2020-03-05,AF,EMRO,0,0,0,1
2020-03-06,AF,EMRO,0,0,0,1
2020-03-07,AF,EMRO,0,0,3,4
2020-03-08,AF,EMRO,0,0,0,4
2020-03-09,AF,EMRO,0,0,0,4
2020-03-10,AF,EMRO,0,0,0,4
2020-03-11,AF,EMRO,0,0,3,7
2020-03-12,AF,EMRO,0,0,0,7
2020-03-13,AF,EMRO,0,0,0,7
2020-03-14,AF,EMRO,0,0,3,10
2020-03-15,AF,EMRO,0,0,6,16
2020-03-16,AF,EMRO,0,0,5,21
2020-03-17,AF,EMRO,0,0,1,22
2020-03-18,AF,EMRO,0,0,0,22
2020-03-19,AF,EMRO,0,0,0,22
2020-03-20,AF,EMRO,0,0,2,24
2020-03-21,AF,EMRO,0,0,0,24
2020-03-22,AF,EMRO,0,0,10,34
2020-03-23,AF,EMRO,1,1,6,40
2020-03-24,AF,EMRO,0,1,2,42
2020-03-25,AF,EMRO,0,1,32,74
2020-03-26,AF,EMRO,1,2,6,80
2020-03-27,AF,EMRO,0,2,11,91
2020-03-28,AF,EMRO,1,3,15,106
2020-03-29,AF,EMRO,1,4,8,114
2020-03-30,AF,EMRO,0,4,0,114
2020-03-31,AF,EMRO,0,4,52,166
2020-04-01,AF,EMRO,0,4,26,192
2020-04-02,AF,EMRO,0,4,43,235
2020-04-03,AF,EMRO,1,5,34,269
2020-04-04,AF,EMRO,0,5,1,270
2020-04-05,AF,EMRO,2,7,29,299
2020-04-06,AF,EMRO,0,7,38,337
2020-04-07,AF,EMRO,4,11,30,367
2020-04-08,AF,EMRO,3,14,56,423
2020-04-09,AF,EMRO,1,15,61,484
2020-04-10,AF,EMRO,0,15,37,521
2020-04-11,AF,EMRO,0,15,0,521
2020-04-12,AF,EMRO,3,18,34,555
2020-04-13,AF,EMRO,3,21,110,665
2020-04-14,AF,EMRO,2,23,49,714
2020-04-15,AF,EMRO,2,25,70,784
2020-04-16,AF,EMRO,4,29,10,794
2020-04-17,AF,EMRO,1,30,51,845
2020-04-18,AF,EMRO,0,30,63,908
2020-04-19,AF,EMRO,3,33,88,996
2020-04-20,AF,EMRO,0,33,0,996
2020-04-21,AF,EMRO,3,36,96,1092
2020-04-22,AF,EMRO,4,40,84,1176
2020-04-23,AF,EMRO,0,40,0,1176
2020-04-24,AF,EMRO,0,40,50,1226
2020-04-25,AF,EMRO,7,47,237,1463
2020-04-26,AF,EMRO,2,49,0,1463
2020-04-27,AF,EMRO,8,57,240,1703
2020-04-28,AF,EMRO,3,60,124,1827
2020-04-29,AF,EMRO,0,60,0,1827
2020-04-30,AF,EMRO,4,64,344,2171
2020-05-01,AF,EMRO,0,64,0,2171
2020-05-02,AF,EMRO,8,72,298,2469
2020-05-03,AF,EMRO,0,72,0,2469
2020-05-04,AF,EMRO,0,72,0,2469
2020-05-05,AF,EMRO,23,95,755,3224
2020-05-06,AF,EMRO,9,104,168,3392
2020-05-07,AF,EMRO,1,105,171,3563
2020-05-08,AF,EMRO,0,105,0,3563
2020-03-09,AL,EURO,0,0,2,2
2020-03-10,AL,EURO,0,0,4,6
2020-03-11,AL,EURO,0,0,4,10
2020-03-12,AL,EURO,0,0,13,23
2020-03-13,AL,EURO,1,1,10,33
2020-03-14,AL,EURO,0,1,5,38
